"Synchaeta","Autotroph","Mixotroph","Heterotroph","Keratella","Acartia","Evadne","Limecola_balthica","Eurytemora_affinis","Limnocalanus_macrurus","Podon/pleopis","Gasterosteus_aculeatus","Osmerus_eperlanus","Pomatoschistus","Bosmina","Cyclopoida","Monoporeia_affinis","Pontoporeia_femorata","Coregonus","Detritus","Oligochaeta","Neogobius_melanostomus","Clupea_harengus","Gadus_morhua","Saduria_entomon","Sprattus_sprattus","Zoarces_viviparus","Sander_lucioperca","Myoxocephalus_scorpius","Platichthys_flesus","Liparis_liparis","Marenzelleria","Gymnocephalus_cernua","Myoxocephalus_quadricornis"
"0.636513892","53.84327698","0.06808538","0.6948102","0","0.972913827","0.003272256","0.7222","0.67842754","3.022620669","0","0","0.076489964","0","0.006882844","0.00711119","15.8236","1.15268","0","1","0.04204","0","2.869381506","0.390981942","7.5696","0.001384203","0.115568592","0.002291367","0.00297345","0.001386585","0","0","0","0.01371211"
"0.586149041","72.40711468","0.17199504","1.08196396","0.006403537","2.156254538","0.013465901","0","0.986511604","0.688571243","0","2.75E-05","0.246682","0.00010583","0.013467472","0.0132644","12.33278","0","0","1","0.02604","0","3.727078996","0.106467925","0","0.001252325","0.018047713","0.01254365","0.000326","0.000915725","5.90E-05","0","0","0.00057065"
"15.44536762","44.84528556","0.11578278","0.98997088","0.188403307","2.870120304","0.371700663","4.1358","2.685106437","0.108964292","0.365906618","0.000560264","0.156576042","7.56E-05","0.127008743","0.023247673","10.06322","0","0","1","0.05972","0","5.566564605","0.00127425","20.0066","0.001151","0.154604953","0.001464388","0.002305375","0.000131125","7.21E-05","0","0","0.000894375"
"1.169529616","22.96299264","0.25855384","0.49048992","0.001254408","3.798357989","0.044423771","0","4.27531345","0.342702312","0.004639376","0.000202873","0.04202","4.74E-05","0.081128682","0.034352229","0","0.099908","0","1","0","0","6.512945499","0","0","0.00127475","0.109440823","0.0022555","0.00024","0","1.29E-05","0","0.0001335","0.00036975"
"0.699343865","28.3538964","0.39742762","0.53154718","0.002228938","2.364955167","0.144801602","0.006210712","2.90459628","0.677416413","0","2.44E-06","0.085102125","1.15E-06","0.08473061","0.061872137","1.7004844","0.55123113","0","1","0.000502784","0","5.298665034","0","15.20833419","0.001384375","0.72704725","0.002576","0.0055035","0.000357","0.000115625","0.133530667","0.0004745","0.0011885"
"2.596117809","36.78130892","0.28983344","0.36090276","0.002318492","2.981281391","0.07456387","0.36054962","3.625659629","1.325259575","0.014287367","0.001026983","0.16618167","0.000310622","0.058512937","0.100827925","9.269146239","0.651670925","0","1","0.001167856","0","5.126478873","0","10.73713776","0.023926196","0.361712799","0.0022147","0","0.001702773","0.000830148","4.011172145","0.002922995","0.018901987"
"1.864529105","27.13582582","0.2813835","0.53555892","0.119696097","2.992105363","0.148095451","0.291654563","2.718039957","2.082498033","0.009230516","0.004073953","0.051569893","0.000115654","0.068737254","0.090154025","0.567914602","0.022883298","0.002249925","1","0","0","6.201420698","0","21.84904174","0.094560836","0.029909285","0.0007157","0.0001365","0.00048528","0.00034187","0.686075562","0.000618275","0.002829975"
