"AUTOTHROPH_FLAGELLATE" "BACTERIA" "DETRITUS" "DIATOM" "DISSOLVED_ORGANIC_MATTER" "HETEROTROPH_FLAGELLATE" "MIXOTROPH_FLAGELLATE" "PHYTOPLANKTON" "PROTOZOOPLANKTON" "ACARTIA_SPP" "BOSMINA_SPP" "CALANOIDA" "CENTROPAGES_HAMATUS" "CYCLOPS_SP" "DAPHNIA_SP" "EURYTEMORA_AFFINIS" "EVADNE_SP" "FRITILLARIA_SP" "HARPACTICOIDA" "KERATELLA_SP" "LIMNOCALANUS_MACRURUS" "PLEOPLSIS_POLYPHEIMOIDES" "PODON_SP" "PSEUDOCALANUS_SPP" "ROTIFERA_INDET" "SYNCHAETA_SP" "TEMORA_LONGICORNIS" "AMPHARETE_SP" "ASTARTE_SP" "BYLGIDES_SARSI" "CAPITELLA_CAPITATA" "DIASTYLIS_RATHKEI" "HALICRYPTUS_SPINULOSUS" "LIMECOLA_BALTHICA" "MARENZELLERIA_SP" "MONOPOREIA_AFFINIS" "MYSIS_SPP" "MYTILUS_EDULIS" "NEMERTINI_INDET" "PONTOPOREIA_FEMORATA" "PRIAPULUS_CAUDATUS" "SADURIA_ENTOMON" "SCOLOPLOS_ARMIGER" "TEREBELLIDES_STROEMI" "CLUPEA_HARENGUS" "COREGONUS_ALBULA" "COREGONUS_LAVARETUS" "GADUS_MORHUA" "GASTEROSTEUS_ACULEATUS" "LIMANDA_LIMANDA" "LOTA_LOTA" "MYXOCEPHALUS_QUADRICORNIS" "OSMERUS_EPERLANUS" "PLATICHTHYS_FLESUS" "PLEURONECTES_PLATESSA" "SPRATTUS_SPRATTUS" "ALCA_TORDA" "CLANGULA_HYEMALIS" "LARUS_SPP" "MERGUS_SPP" "PHALACROCORAX_CARBO" "SOMATERA_MOLLISSIMA" "URIA_AALGE" "HALICHOERUS_GRYPUS" "PUSA_HISPIDA" "PHOCA_VITULINA" "PHOCOENA_PHOCOENA"
"DAPHNIA_SP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"EURYTEMORA_AFFINIS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"EVADNE_SP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"FRITILLARIA_SP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"HARPACTICOIDA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"KERATELLA_SP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"LIMNOCALANUS_MACRURUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"PLEOPLSIS_POLYPHEIMOIDES" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"PODON_SP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0
"PSEUDOCALANUS_SPP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0
