"AUTOTROPH_FLAGELLATE" "BACTERIA" "DETRITUS" "DIATOM" "DISSOLVED_ORGANIC_MATTER" "HETEROTROPH_FLAGELLATE" "MIXOTROPH_FLAGELLATE" "PHYTOPLANKTON" "PROTOZOOPLANKTON" "ACARTIA_SPP" "BOSMINA_SPP" "CYCLOPS_SP" "EVADNE_SP" "FRITILLARIA_BOREALIS" "KERATELLA_SP" "PLEOPSIS_POLYPHEMOIDES" "PSEUDOCALANUS_SP" "TEMORA_LONGICORNIS" "ASTARTE_SP" "BYLGIDES_SARSI" "HALICRYPTUS_SPINULOSUS" "MONOPOREIA_AFFINIS" "MYSIS_SPP" "MYTILUS_EDULIS" "NEMERTINI" "PONTOPOREIA_FEMORATA" "PRIAPULUS_CAUDATUS" "SADURIA_ENTOMON" "TEREBELLIDES_STROEMI" "COREGONUS_ALBULA" "ENCHELYOPUS_CIMBRIUS" "GADUS_MORHUA" "HYPEROPLUS_LANCEOLATUS" "MERLANGIUS_MERLANGUS" "MYOXOCEPHALUS_SCORPIUS" "OSMERUS_EPERLANUS" "PLEURONECTES_PLATESSA" "POMATOSCHISTUS_SPP" "SALMO_SALAR" "SCOMBER_SCOMBRUS" "SCOPHTHALMUS_MAXIMUS" "SPRATTUS_SPRATTUS" "TRACHURUS_TRACHURUS"
"PONTOPOREIA_FEMORATA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
"PRIAPULUS_CAUDATUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SADURIA_ENTOMON" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0
"TEREBELLIDES_STROEMI" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 1 0 0
"COREGONUS_ALBULA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0
"ENCHELYOPUS_CIMBRIUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0
"GADUS_MORHUA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 1 1 0 0
"HYPEROPLUS_LANCEOLATUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 0
"MERLANGIUS_MERLANGUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 0 0 1 1 0 1
"MYOXOCEPHALUS_SCORPIUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 1
"OSMERUS_EPERLANUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0
"PLEURONECTES_PLATESSA" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 0
"POMATOSCHISTUS_SPP" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 1
"SALMO_SALAR" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"SCOMBER_SCOMBRUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1
"SCOPHTHALMUS_MAXIMUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1
"SPRATTUS_SPRATTUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 1 0 1 1 1 1 1
"TRACHURUS_TRACHURUS" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1
